tconst,primaryTitle,startYear
tt0081964,...All the Marbles,1981
tt0081967,Fire on East Train 34,1981
tt0081968,36 Chowringhee Lane,1981
tt0081971,A Q zheng zhuan,1981
tt0081974,Absence of Malice,1981
tt0081978,Acting: Lee Strasberg and the Actors Studio,1981
tt0081988,Against Wind and Tide: A Cuban Odyssey,1981
tt0081991,Rasputin,1981
tt0081992,Love Massacre,1981
tt0081995,Island of the Evil Spirits,1981
tt0081998,Little Alexander,1981
tt0082002,Alles im Eimer,1981
tt0082003,Als Unku Edes Freundin war,1981
tt0082009,American Pop,1981
tt0082010,An American Werewolf in London,1981
tt0082011,Americana,1981
tt0082013,Amnistiya,1981
tt0082015,L'amour des femmes,1981
tt0082016,L'amour nu,1981
tt0082017,Amy,1981
tt0082020,The Animals Film,1981
tt0082021,Anna,1981
tt0082031,Arthur,1981
tt0082034,Ace,1981
tt0082043,Bad Blood,1981
tt0082045,Banana Joe,1982
tt0082047,Barcelona sur,1981
tt0082048,El barrendero,1982
tt0082053,A Good Marriage,1982
tt0082054,Beau-père,1981
tt0082055,Happy Memories,1981
tt0082058,Belyy voron,1981
tt0082060,"No Mercy, No Future",1981
tt0082061,Beshenye dengi,1982
tt0082066,Apprehension,1982
tt0082071,Bezubaan,1982
tt0082072,The Sword Stained with Royal Blood,1981
tt0082073,"Bianco, rosso e Verdone",1981
tt0082079,Black Lizard,1981
tt0082081,Marianne & Juliane,1981
tt0082085,Blow Out,1981
tt0082087,Der Bockerer,1981
tt0082088,Blood Wedding,1981
tt0082089,Body Heat,1981
tt0082092,The Good People of Portugal,1980
tt0082093,Bona,1980
tt0082095,Das Boot ist voll,1981
tt0082096,Das Boot,1981
tt0082100,The Party,1980
tt0082106,Brooklyn Bridge,1981
tt0082108,Bruce vs. Bill,1981
tt0082111,Buddy Buddy,1981
tt0082112,Bukit Kepong,1981
tt0082117,Burning an Illusion,1981
tt0082118,The Burning,1981
tt0082119,Buscando a Perico,1982
tt0082121,Bustin' Loose,1981
tt0082124,And All That Jazz,1983
